Primary Breed,Description,LeeListing,Num2011,Num2013,Num2015
PHARAOH HOUND,Pharaoh Hound,Pharaoh Hound,4,5,6
PICARDY SHEEPDG,Picardy Sheepdog,.na,5,3,7
PIT BULL,Pit Bull Terrier,.na,419,295,214
PLOTT HOUND,Plott Hound,.na,8,10,19
PODENGO PEQUENO,Podengo Portugueso Pequeno,.na,39,38,36
POINTER,Pointer,Pointer,65,55,65
POLISH LOWLND SHEEPDG,Polish Lowland Sheepdog,.na,15,17,17
POMERANIAN,Pomeranian,Pomeranian,1019,854,930
POODLE MINIATURE,Poodle - Miniature,.na,1946,1737,1788
POODLE STANDARD,Poodle - Standard,.na,1322,1188,1314
POODLE TOY,Poodle - Toy,.na,779,672,640
PORCELAINEHOUND,Porcelainehound,.na,3,3,4
PORTUGUESE PODENGO,Portuguese Podengo,.na,3,0,2
PORTUGUESE WATER,Portuguese Water Dog,Portuguese Water Dog,468,418,471
POTCAKE,Patcake,.na,0,0,2
PRESA CANARIO,Presa Canario,.na,14,24,27
PUDELPOINTER,Pudelpointer,.na,2,2,2
PUG,Pug,Pug,1084,1010,1046
PULI,Puli,Puli,48,42,42
PUMI,Pumi,.na,2,2,2
QUEENSLAND HEELER,Queensland Heeler,.na,1,1,0
RAT TERRIER,Rat Terrier,.na,52,43,58
REDBONE COONHOUND,Redbone Coonhound,.na,27,34,27
RHODESIAN RIDGEBACK,Rhodesian Ridgeback,Rhodesian Ridgeback,160,161,153
ROTTWEILER,Rottweiler,Rottweiler,657,633,741
RUSSIAN TERRIER,Russian Terrier,.na,18,22,18
SALUKI,Saluki,Saluki,11,12,17
SAMOYED,Samoyed,Samoyed,87,82,107
SCHIPPERKE,Schipperke,Schipperke,26,23,16
SCHNAUZER GIANT,Schnauzer - Giant,Giant Schnauzer,65,53,46
SCHNAUZER MIN,Schnauzer - Miniature,.na,1531,1327,1231
SCHNAUZER STAND,Schnauzer - Standard,Standard Schnauzer,185,180,185
SCHULZRUDI,Schulzrudi,.na,0,0,1
SCOT DEERHOUND,Scottish Deerhound,Scottish Deerhound,0,0,1
SCOT TERRIER,Scottish Terrier,Scottish Terrier,139,130,115
SEALYHAM TERR,Sealyham Terrier,Sealyham Terrier,10,12,9
SHETLAND SHEEPDOG,Shetland Sheepdog,.na,593,510,434
SHIBA INU,Shiba Inu,Shiba Inu,143,139,145
SHIH TZU,Shih Tzu,Shih Tzu,4192,3750,3837
